item_id,task_id,domain_pair,domain_a,domain_b,subcategory_a,subcategory_b,difficulty_a,difficulty_b,task_text,part1_text,part2_text,decision_options,decision_a,answer_a,decision_b,answer_b,participant_confidence,notes
HB_EXP9_0001,fixed_fac_ari_028_04,arithmetic+factual,factual,arithmetic,geography,percentages_ratios,easy,medium,A biology teacher combines taxonomy and maths.,How many chambers does the human heart have?,Average heart rate 72 bpm. Beats in 8 hours?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,4,PROCEED,34560,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP9_0002,fixed_fac_ari_028_03,arithmetic+factual,factual,arithmetic,world_history,multiplication_division,easy,medium,A science journalist covers astronomy.,Which planet is closest to the Sun?,Mercury orbits the Sun in 88 Earth days. How many Mercury years in one Earth year (to 1 decimal place)?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,Mercury,PROCEED,4.1,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP9_0003,fixed_ari_lin_002_02,arithmetic+linguistic,arithmetic,linguistic,addition_subtraction,vocabulary_semantics,easy,easy,A project manager tracks budget and drafts memos.,"Monthly budget $54,000 divided equally among 12 departments. Each department's allocation?",Rewrite in passive voice: 'The team submitted the report.',PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,4500,PROCEED,The report was submitted by the team.,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP9_0004,fixed_ari_lin_002_01,arithmetic+linguistic,arithmetic,linguistic,estimation,grammar_syntax,easy,easy,A sales manager reviews revenue and drafts client communications.,25 items sold at $18.50 each. Total revenue?,Antonym of 'verbose'? A) Loquacious  B) Concise  C) Elaborate  D) Wordy,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,462.5,PROCEED,B,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP9_0005,fixed_ari_log_003_08,arithmetic+logical,arithmetic,logical,addition_subtraction,conditional_reasoning,easy,easy,An accountant reviews payroll.,45 employees earn $22/hr and work 40 hrs/week. Weekly payroll?,"If any employee earns overtime (>40 hrs), it must be approved. No overtime hours logged. Is approval needed?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,39600,PROCEED,no,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP9_0006,fixed_ari_log_003_07,arithmetic+logical,arithmetic,logical,estimation,syllogisms,medium,easy,A production manager tracks output and quality rules.,Line produces 240 units/hr. 6-hour shift. Defect rate 3%. Good units produced?,"Rule: if defect rate > 5%, halt the line. Current rate 3%. Halt the line?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,1397,PROCEED,no,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP9_0007,fixed_ari_pro_006_04,arithmetic+procedural,arithmetic,procedural,multi_step_calculation,error_detection,easy,medium,A nurse calculates infusion rates and follows administration protocol.,"IV bag: 1,000 mL to be infused over 8 hours. Rate in mL per hour?",Medication administration: (1) check patient ID (2) verify order (3) prepare dose (4) administer (5) document. Nurse administers then documents. Is this acceptable if all prior steps were followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,125,PROCEED,yes,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP9_0008,fixed_ari_pro_006_02,arithmetic+procedural,arithmetic,procedural,multiplication_division,dependency_ordering,medium,easy,A project manager calculates budget burn and follows approval procedures.,"Monthly budget $80,000. Spent: 42% in month 1 and 31% in month 2. Total spent after two months?","Approval procedure: (1) draft request (2) cost estimate (3) manager sign-off (4) finance approval (5) execution. Request executed after steps 1–3, skipping step 4. Protocol followed?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,58400,PROCEED,no,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP9_0009,fixed_ari_soc_004_02,arithmetic+social,arithmetic,social,multi_step_calculation,pragmatic_implicature,medium,easy,An office manager plans a team event and handles social dynamics.,Team lunch for 15 people at $22 each plus an 18% tip. Total cost?,A new team member rarely speaks in meetings and gives short answers. Most likely interpretation? A) Rude  B) Shy or adapting to team norms  C) Disinterested  D) Hostile,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,389.4,PROCEED,B,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
HB_EXP9_0010,fixed_ari_soc_004_06,arithmetic+social,arithmetic,social,percentages_ratios,conflict_resolution,easy,medium,An HR manager handles salary reviews and team culture.,"Annual raise of 8% on a $52,500 salary. New salary?",A colleague publicly criticises your work without prior discussion. Best professional response? A) Argue back immediately  B) Request a private conversation later  C) Ignore it  D) Escalate to HR immediately,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,56700,PROCEED,B,0.95,AI_GENERATED_NOT_HUMAN;BEST_EFFORT_FROM_ANSWER_KEYS_NO_INTENTIONAL_ERRORS
