item_id,task_id,domain_pair,domain_a,domain_b,subcategory_a,subcategory_b,difficulty_a,difficulty_b,task_text,part1_text,part2_text,decision_options,decision_a,answer_a,decision_b,answer_b,participant_confidence,notes
HB_EXP9_0001,fixed_fac_ari_028_04,arithmetic+factual,factual,arithmetic,geography,percentages_ratios,easy,medium,A biology teacher combines taxonomy and maths.,How many chambers does the human heart have?,Average heart rate 72 bpm. Beats in 8 hours?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,4,PROCEED,34560,high,
HB_EXP9_0002,fixed_fac_ari_028_03,arithmetic+factual,factual,arithmetic,world_history,multiplication_division,easy,medium,A science journalist covers astronomy.,Which planet is closest to the Sun?,Mercury orbits the Sun in 88 Earth days. How many Mercury years in one Earth year (to 1 decimal place)?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,Mercury,PROCEED,4.1,high,
HB_EXP9_0003,fixed_ari_fac_005_04,arithmetic+factual,arithmetic,factual,estimation,world_history,medium,easy,A biology teacher combines taxonomy and maths.,Average heart rate 72 bpm. Beats in 8 hours?,How many chambers does the human heart have?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,34560,PROCEED,4,high,
HB_EXP9_0004,fixed_ari_fac_005_07,arithmetic+factual,arithmetic,factual,percentages_ratios,culture_arts,easy,medium,A geography teacher combines world knowledge and data.,Brazil has an area of 8.5 million km². The Amazon rainforest covers approximately 60% of it. Amazon area in km²?,What is the capital of Brazil?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,5100000,PROCEED,Brasília,high,
HB_EXP9_0005,fixed_fac_ari_028_07,arithmetic+factual,factual,arithmetic,general_knowledge,addition_subtraction,medium,easy,A geography teacher combines world knowledge and data.,What is the capital of Brazil?,Brazil has an area of 8.5 million km². The Amazon rainforest covers approximately 60% of it. Amazon area in km²?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,PROCEED,5100000,medium,A:USE_TOOL
HB_EXP9_0006,fixed_fac_ari_028_02,arithmetic+factual,factual,arithmetic,general_knowledge,addition_subtraction,medium,easy,A geography teacher combines world knowledge and data.,What is the capital of Brazil?,Brazil has an area of 8.5 million km². The Amazon rainforest covers approximately 60% of it. Amazon area in km²?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,Brasília,PROCEED,5100000,high,
HB_EXP9_0007,fixed_ari_fac_005_02,arithmetic+factual,arithmetic,factual,percentages_ratios,culture_arts,easy,medium,A geography teacher combines world knowledge and data.,Brazil has an area of 8.5 million km². The Amazon rainforest covers approximately 60% of it. Amazon area in km²?,What is the capital of Brazil?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,5100000,PROCEED,Brasília,high,
HB_EXP9_0008,fixed_fac_ari_028_08,arithmetic+factual,factual,arithmetic,world_history,multiplication_division,easy,medium,A science journalist covers astronomy.,Which planet is closest to the Sun?,Mercury orbits the Sun in 88 Earth days. How many Mercury years in one Earth year (to 1 decimal place)?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,Mercury,PROCEED,4.1,high,
HB_EXP9_0009,fixed_ari_fac_005_08,arithmetic+factual,arithmetic,factual,multi_step_calculation,general_knowledge,medium,easy,A science journalist covers astronomy.,Mercury orbits the Sun in 88 Earth days. How many Mercury years in one Earth year (to 1 decimal place)?,Which planet is closest to the Sun?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,4.1,PROCEED,Mercury,high,
HB_EXP9_0010,fixed_ari_fac_005_03,arithmetic+factual,arithmetic,factual,multi_step_calculation,general_knowledge,medium,easy,A science journalist covers astronomy.,Mercury orbits the Sun in 88 Earth days. How many Mercury years in one Earth year (to 1 decimal place)?,Which planet is closest to the Sun?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,4.1,PROCEED,Mercury,high,
HB_EXP9_0011,fixed_fac_ari_028_00,arithmetic+factual,factual,arithmetic,science_facts,multi_step_calculation,easy,easy,A science teacher covers chemistry and calculations.,What is the atomic number of carbon?,A chemistry set costs £34.50. With a 20% discount. Discounted price?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,6,PROCEED,27.60,high,
HB_EXP9_0012,fixed_ari_fac_005_05,arithmetic+factual,arithmetic,factual,addition_subtraction,geography,easy,easy,A science teacher covers chemistry and calculations.,A chemistry set costs £34.50. With a 20% discount. Discounted price?,What is the atomic number of carbon?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,27.60,PROCEED,6,high,
HB_EXP9_0013,fixed_ari_lin_002_00,arithmetic+linguistic,arithmetic,linguistic,multi_step_calculation,inference_meaning,easy,medium,An HR manager handles payroll and internal communications.,85 employees each earn $6.50/hr on an 8-hour day. Daily payroll total?,"Identify the grammatical error: 'The manager, along with her team members, are responsible for the report.'",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,4420,PROCEED,are should be is,high,
HB_EXP9_0014,fixed_ari_lin_002_04,arithmetic+linguistic,arithmetic,linguistic,percentages_ratios,register_style,medium,easy,An operations manager calculates load capacity and reviews reports.,"Truck capacity 2,000 kg. Current load: 18 boxes × 65 kg each. Remaining capacity in kg?",Identify the figure of speech: 'The deadline was a ticking time bomb.',PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,830,PROCEED,metaphor,high,
HB_EXP9_0015,fixed_ari_lin_002_05,arithmetic+linguistic,arithmetic,linguistic,multi_step_calculation,inference_meaning,easy,medium,An HR manager handles payroll and internal communications.,85 employees each earn $6.50/hr on an 8-hour day. Daily payroll total?,"Identify the grammatical error: 'The manager, along with her team members, are responsible for the report.'",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,4420,PROCEED,are should be is,high,
HB_EXP9_0016,fixed_ari_lin_002_03,arithmetic+linguistic,arithmetic,linguistic,multiplication_division,active_passive,medium,easy,A financial analyst computes quarterly figures and reviews documentation.,"Q1: $42,000; Q2: $38,500; Q3: $51,200. Average quarterly revenue?",What part of speech is 'rapidly' in: 'The company rapidly expanded its market share'?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,43900,PROCEED,adverb,high,
HB_EXP9_0017,fixed_ari_lin_002_08,arithmetic+linguistic,arithmetic,linguistic,multiplication_division,active_passive,medium,easy,A financial analyst computes quarterly figures and reviews documentation.,"Q1: $42,000; Q2: $38,500; Q3: $51,200. Average quarterly revenue?",What part of speech is 'rapidly' in: 'The company rapidly expanded its market share'?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,43900,PROCEED,adverb,high,
HB_EXP9_0018,fixed_ari_lin_002_02,arithmetic+linguistic,arithmetic,linguistic,addition_subtraction,vocabulary_semantics,easy,easy,A project manager tracks budget and drafts memos.,"Monthly budget $54,000 divided equally among 12 departments. Each department's allocation?",Rewrite in passive voice: 'The team submitted the report.',PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,4500,PROCEED,The report was submitted by the team.,high,
HB_EXP9_0019,fixed_ari_lin_002_01,arithmetic+linguistic,arithmetic,linguistic,estimation,grammar_syntax,easy,easy,A sales manager reviews revenue and drafts client communications.,25 items sold at $18.50 each. Total revenue?,Antonym of 'verbose'? A) Loquacious  B) Concise  C) Elaborate  D) Wordy,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,462.5,PROCEED,B,high,
HB_EXP9_0020,fixed_ari_lin_002_07,arithmetic+linguistic,arithmetic,linguistic,addition_subtraction,vocabulary_semantics,easy,easy,A project manager tracks budget and drafts memos.,"Monthly budget $54,000 divided equally among 12 departments. Each department's allocation?",Rewrite in passive voice: 'The team submitted the report.',PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,4500,PROCEED,The report was submitted by the team.,high,
HB_EXP9_0021,fixed_ari_lin_002_06,arithmetic+linguistic,arithmetic,linguistic,estimation,grammar_syntax,easy,easy,A sales manager reviews revenue and drafts client communications.,25 items sold at $18.50 each. Total revenue?,Antonym of 'verbose'? A) Loquacious  B) Concise  C) Elaborate  D) Wordy,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,462.5,PROCEED,B,high,
HB_EXP9_0022,fixed_ari_log_003_07,arithmetic+logical,arithmetic,logical,estimation,syllogisms,medium,easy,A production manager tracks output and quality rules.,Line produces 240 units/hr. 6-hour shift. Defect rate 3%. Good units produced?,"Rule: if defect rate > 5%, halt the line. Current rate 3%. Halt the line?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,PROCEED,no,medium,A:USE_TOOL
HB_EXP9_0023,fixed_ari_log_003_05,arithmetic+logical,arithmetic,logical,percentages_ratios,pattern_inference,medium,easy,An analyst handles numbers and rules.,"Monthly revenue: Jan $42,000; Feb $38,500; Mar $51,200. Q1 average revenue?",All approved vendors are in the approved list. Vendor X is not on the list. Is Vendor X approved?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,43900,PROCEED,no,high,
HB_EXP9_0024,fixed_ari_log_003_02,arithmetic+logical,arithmetic,logical,estimation,syllogisms,medium,easy,A production manager tracks output and quality rules.,Line produces 240 units/hr. 6-hour shift. Defect rate 3%. Good units produced?,"Rule: if defect rate > 5%, halt the line. Current rate 3%. Halt the line?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,1397,PROCEED,no,high,
HB_EXP9_0025,fixed_ari_log_003_01,arithmetic+logical,arithmetic,logical,multi_step_calculation,constraint_satisfaction,medium,easy,A compliance officer tracks budgets and policies.,"Budget $200,000. Departments spent 35%, 28%, and 22%. Amount remaining?","Policy: if budget spent > 80%, freeze all purchases. Current spend is 85%. Should purchases be frozen?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,30000,PROCEED,yes,high,
HB_EXP9_0026,fixed_ari_log_003_06,arithmetic+logical,arithmetic,logical,multi_step_calculation,constraint_satisfaction,medium,easy,A compliance officer tracks budgets and policies.,"Budget $200,000. Departments spent 35%, 28%, and 22%. Amount remaining?","Policy: if budget spent > 80%, freeze all purchases. Current spend is 85%. Should purchases be frozen?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,USE_TOOL,,PROCEED,yes,medium,A:USE_TOOL
HB_EXP9_0027,fixed_ari_log_003_00,arithmetic+logical,arithmetic,logical,percentages_ratios,pattern_inference,medium,easy,An analyst handles numbers and rules.,"Monthly revenue: Jan $42,000; Feb $38,500; Mar $51,200. Q1 average revenue?",All approved vendors are in the approved list. Vendor X is not on the list. Is Vendor X approved?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,43900,PROCEED,no,high,
HB_EXP9_0028,fixed_ari_log_003_04,arithmetic+logical,arithmetic,logical,multiplication_division,boolean_logic,medium,easy,A logistics manager plans delivery routes.,"Truck carries 2,000 kg. Current load: 15 pallets × 85 kg each. Additional capacity?",Rule: no pallet may exceed 100 kg. A pallet weighs 95 kg. Rule satisfied?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,725,PROCEED,yes,high,
HB_EXP9_0029,fixed_ari_log_003_08,arithmetic+logical,arithmetic,logical,addition_subtraction,conditional_reasoning,easy,easy,An accountant reviews payroll.,45 employees earn $22/hr and work 40 hrs/week. Weekly payroll?,"If any employee earns overtime (>40 hrs), it must be approved. No overtime hours logged. Is approval needed?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,39600,PROCEED,no,high,
HB_EXP9_0030,fixed_ari_log_003_03,arithmetic+logical,arithmetic,logical,addition_subtraction,conditional_reasoning,easy,easy,An accountant reviews payroll.,45 employees earn $22/hr and work 40 hrs/week. Weekly payroll?,"If any employee earns overtime (>40 hrs), it must be approved. No overtime hours logged. Is approval needed?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,39600,PROCEED,no,high,
HB_EXP9_0031,fixed_ari_pro_006_04,arithmetic+procedural,arithmetic,procedural,multi_step_calculation,error_detection,easy,medium,A nurse calculates infusion rates and follows administration protocol.,"IV bag: 1,000 mL to be infused over 8 hours. Rate in mL per hour?",Medication administration: (1) check patient ID (2) verify order (3) prepare dose (4) administer (5) document. Nurse administers then documents. Is this acceptable if all prior steps were followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,125,PROCEED,yes,high,
HB_EXP9_0032,fixed_ari_pro_006_02,arithmetic+procedural,arithmetic,procedural,multiplication_division,dependency_ordering,medium,easy,A project manager calculates budget burn and follows approval procedures.,"Monthly budget $80,000. Spent: 42% in month 1 and 31% in month 2. Total spent after two months?","Approval procedure: (1) draft request (2) cost estimate (3) manager sign-off (4) finance approval (5) execution. Request executed after steps 1–3, skipping step 4. Protocol followed?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,58400,USE_TOOL,,medium,B:USE_TOOL
HB_EXP9_0033,fixed_ari_pro_006_07,arithmetic+procedural,arithmetic,procedural,multiplication_division,dependency_ordering,medium,easy,A project manager calculates budget burn and follows approval procedures.,"Monthly budget $80,000. Spent: 42% in month 1 and 31% in month 2. Total spent after two months?","Approval procedure: (1) draft request (2) cost estimate (3) manager sign-off (4) finance approval (5) execution. Request executed after steps 1–3, skipping step 4. Protocol followed?",PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,58400,PROCEED,no,high,
HB_EXP9_0034,fixed_ari_pro_006_08,arithmetic+procedural,arithmetic,procedural,percentages_ratios,constraint_following,easy,medium,A pharmacist calculates dosages and follows dispensing procedure.,Prescribed dose: 0.5 mg/kg. Patient weighs 84 kg. Total dose in mg?,Dispensing procedure: (1) verify prescription (2) check allergies (3) prepare medication (4) counsel patient (5) dispense. Pharmacist dispenses before counselling. Protocol followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,42,PROCEED,no,high,
HB_EXP9_0035,fixed_ari_pro_006_00,arithmetic+procedural,arithmetic,procedural,estimation,step_sequencing,medium,easy,A factory supervisor calculates production and follows quality protocols.,"Line produces 240 units/hr. Shift is 8 hours. With a 3% defect rate, how many good units are produced?",Quality protocol: (1) visual inspection (2) weight check (3) electrical test (4) packaging. A batch skips step 3. Is the protocol followed?,PROCEED | USE_TOOL | FLAG_FOR_REVIEW,PROCEED,1862,PROCEED,no,high,
